name,title,experience,skills,location,notice_days,email
Sneha R 73,Business Analyst,7,"dax,excel,python,power query",Mumbai,60,user73@example.com
Rahul N 74,Power BI Developer,8,"power bi,excel,azure,power query",Hyderabad,15,user74@example.com
Kiran S 75,BI Analyst,1,"power bi,power query,excel,python,dax",Pune,15,user75@example.com
Priya K 76,Business Analyst,3,"sql,power bi,excel",Mumbai,30,user76@example.com
Meera V 77,Business Analyst,2,"power query,azure,tableau,dax,excel",Mumbai,45,user77@example.com
Meera V 78,Data Analyst,6,"dax,azure,power query,tableau",Hyderabad,45,user78@example.com
Divya M 79,Reporting Analyst,4,"power query,dax,azure,power bi",Chennai,90,user79@example.com
Sneha R 80,Business Analyst,6,"azure,power query,python,power bi",Pune,15,user80@example.com
Arun P 81,Business Analyst,2,"azure,sql,dax,tableau,python",Chennai,30,user81@example.com
Sneha R 82,Reporting Analyst,7,"azure,power bi,tableau,power query",Bangalore,45,user82@example.com
Arun P 83,Reporting Analyst,3,"excel,sql,azure,power bi,dax",Chennai,90,user83@example.com
Asha Raman 84,Data Analyst,4,"power bi,excel,dax,tableau,sql",Chennai,30,user84@example.com
Sneha R 85,Data Analyst,4,"excel,python,azure,power bi,sql",Pune,45,user85@example.com
Vikram T 86,Business Analyst,4,"power query,tableau,azure,python,dax",Mumbai,30,user86@example.com
Divya M 87,BI Analyst,2,"excel,azure,python,tableau,power bi",Hyderabad,15,user87@example.com
Rahul N 88,Reporting Analyst,5,"power bi,power query,excel,sql,azure",Hyderabad,15,user88@example.com
Divya M 89,BI Analyst,6,"tableau,sql,python,azure",Pune,90,user89@example.com
Divya M 90,Power BI Developer,6,"power query,power bi,excel,python,tableau",Pune,15,user90@example.com
Meera V 91,Reporting Analyst,7,"excel,sql,tableau,python",Mumbai,15,user91@example.com
Kiran S 92,Data Analyst,8,"azure,sql,power query,power bi",Pune,45,user92@example.com
Sneha R 93,BI Analyst,8,"python,azure,dax,power bi",Hyderabad,30,user93@example.com
Kiran S 94,Power BI Developer,7,"sql,azure,power bi",Chennai,60,user94@example.com
Meera V 95,Power BI Developer,4,"python,excel,tableau,power bi",Pune,60,user95@example.com
Meera V 96,Reporting Analyst,6,"sql,azure,power query,power bi",Mumbai,15,user96@example.com
Vikram T 97,Power BI Developer,3,"sql,tableau,excel,power query",Pune,30,user97@example.com
Arun P 98,Data Analyst,8,"power bi,dax,sql",Mumbai,90,user98@example.com
Vikram T 99,Reporting Analyst,8,"azure,tableau,dax,power query",Hyderabad,90,user99@example.com
Divya M 100,Data Analyst,2,"python,sql,azure,power query,tableau",Hyderabad,90,user100@example.com
